overall_rating,recommendation,outlook,ceo_rating,firm,worklife,culture_values,career,compensation,seniormanagement,year,former_current,job_title,auditor_city,duration,category,department,big 4
1,Doesn't Recommend,Neutral Outlook,Missing,ey,5,2,2,2,2,2017,Former Employee,associate,jacksonville,More than a year,associate,unknown,1
3,Doesn't Recommend,Neutral Outlook,Missing,ey,1,2,3,3,3,2017,Current Employee,anonymous employee,miami,Missing,unknown,unknown,1
5,Recommends,Positive Outlook,Missing,ey,5,5,5,4,5,2017,Current Employee,audit senior,jacksonville,More than 3 years,associate,audit,1
1,Doesn't Recommend,Negative Outlook,Missing,ey,2,1,1,4,1,2017,Current Employee,anonymous employee,jacksonville,Missing,unknown,unknown,1
4,Recommends,Positive Outlook,Missing,ey,2,5,5,3,5,2017,Current Employee,tax staff,tampa,More than a year,associate,tax,1
3,Doesn't Recommend,Neutral Outlook,Missing,ey,1,2,2,2,2,2017,Current Employee,senior,tampa,More than 3 years,associate,unknown,1
3,Doesn't Recommend,Neutral Outlook,Missing,ey,4,5,1,2,4,2017,Current Employee,associate analyst,jacksonville,More than a year,analyst,unknown,1
5,Recommends,Positive Outlook,Missing,ey,2,5,5,4,4,2017,Current Employee,manager,orlando,More than 3 years,manager,unknown,1
5,Recommends,Missing,Approves of CEO,pwc,5,,5,4.5,5,2008,Current Employee,senior associate,tampa,Missing,associate,unknown,1
3,Recommends,Missing,No opinion of CEO,pwc,1,,4,3,4,2008,Current Employee,audit senior associate,tampa,Missing,associate,audit,1
4,Recommends,Missing,No opinion of CEO,pwc,4,,5,3.5,5,2008,Current Employee,audit associate,fort lauderdale,Missing,associate,audit,1
4,Recommends,Missing,Approves of CEO,pwc,4.5,,3.5,3,4,2008,Current Employee,researcher,tampa,Missing,,advisory,1
1,Doesn't Recommend,Missing,Disapproves of CEO,pwc,1,,1,3,1,2008,Former Employee,assurance associate,miami,Missing,associate,audit,1
4,Recommends,Missing,Approves of CEO,pwc,4,,4,4.5,4,2008,Current Employee,tax senior associate,tampa,Missing,associate,tax,1
4,Recommends,Missing,Approves of CEO,pwc,4.5,,4,4,4,2008,Current Employee,audit senior associate,miami,Missing,associate,audit,1
4,Recommends,Missing,Approves of CEO,pwc,5,,3.5,4,4,2008,Current Employee,it project manager,tampa,Missing,unknown,other,1
4,Recommends,Missing,Approves of CEO,pwc,4,,4.5,4,4,2008,Current Employee,audit senior associate,miami,Missing,associate,audit,1
3,Missing,Missing,Approves of CEO,pwc,4.5,,4,4,4,2008,Current Employee,audit associate,fort lauderdale,Missing,associate,audit,1
4,Recommends,Missing,No opinion of CEO,pwc,4,,4,5,4.5,2008,Current Employee,gfs support specialist,tampa,Missing,,unknown,1
4,Recommends,Missing,No opinion of CEO,pwc,3,,4,4.5,4,2008,Former Employee,auditor,tampa,Missing,unknown,audit,1
4,Recommends,Missing,Approves of CEO,pwc,4,,5,5,4,2008,Current Employee,principal consultant,tampa,Missing,unknown,advisory,1
3,Missing,Missing,No opinion of CEO,pwc,3,,4,3,3.5,2009,Current Employee,anonymous employee,miami,Missing,unknown,unknown,1
4,Recommends,Missing,No opinion of CEO,pwc,3.5,,4.5,5,2,2009,Current Employee,it manager,tampa,Missing,manager,other,1
3,Recommends,Missing,No opinion of CEO,pwc,2,,4,3,3,2009,Current Employee,assurance associate,miami,Missing,associate,audit,1
2,Doesn't Recommend,Missing,No opinion of CEO,pwc,4,,2,3.5,1,2009,Current Employee,it manager,tampa,Missing,manager,other,1
4,Missing,Missing,Approves of CEO,pwc,3,,4,4,4,2009,Current Employee,senior manager,miami,Missing,manager,unknown,1
3,Recommends,Missing,No opinion of CEO,pwc,2.5,,4,2.5,4,2009,Current Employee,anonymous employee,miami,Missing,unknown,unknown,1
4,Missing,Missing,Approves of CEO,pwc,2,,4,3,4.5,2009,Current Employee,audit associate,miami,Missing,associate,audit,1
3,Missing,Missing,No opinion of CEO,pwc,1,,4,5,4,2009,Current Employee,associate,tampa,Missing,associate,unknown,1
2,Doesn't Recommend,Missing,No opinion of CEO,pwc,2.5,,1.5,4,1,2009,Former Employee,manager,tampa,Missing,manager,audit,1
3,Missing,Missing,Approves of CEO,pwc,2,,4,2,3.5,2010,Former Employee,auditor,tampa,Missing,unknown,audit,1
3,Doesn't Recommend,Missing,No opinion of CEO,pwc,1.5,,4,2,2.5,2010,Current Employee,senior associate,miami,Missing,associate,unknown,1
3,Missing,Missing,No opinion of CEO,pwc,2,,3,4,2.5,2010,Current Employee,anonymous employee,tampa,Missing,unknown,unknown,1
2,Doesn't Recommend,Missing,Disapproves of CEO,pwc,2.5,,2.5,2.5,1,2010,Former Employee,senior associate - it quality,tampa,Missing,associate,other,1
2,Doesn't Recommend,Missing,Disapproves of CEO,pwc,4,,3,2.5,2,2010,Current Employee,us it manager,tampa,Missing,manager,other,1
1,Doesn't Recommend,Missing,Disapproves of CEO,pwc,1,,1,1,1,2010,Former Employee,anonymous employee,tampa,Missing,unknown,unknown,1
2,Missing,Missing,No opinion of CEO,pwc,4.5,,1.5,4,1,2010,Former Employee,level ii it support specialist,tampa,Missing,unknown,other,1
2,Doesn't Recommend,Missing,No opinion of CEO,pwc,2.5,,2,3,2,2010,Current Employee,anonymous employee,tampa,Missing,unknown,unknown,1
5,Recommends,Missing,Approves of CEO,pwc,5,,5,5,5,2010,Current Employee,manager i,tampa,Missing,manager,unknown,1
1,Doesn't Recommend,Missing,Disapproves of CEO,pwc,1.5,,1,3.5,1,2010,Former Employee,anonymous employee,tampa,Missing,unknown,unknown,1
3,Missing,Missing,No opinion of CEO,pwc,2,,3.5,2.5,2.5,2010,Current Employee,anonymous employee,tampa,Missing,unknown,unknown,1
3,Missing,Missing,No opinion of CEO,pwc,3,,2.5,3,2,2010,Current Employee,senior associate,fort lauderdale,Missing,associate,unknown,1
4,Recommends,Missing,No opinion of CEO,pwc,4.5,,2.5,3.5,2.5,2010,Current Employee,manager,tampa,Missing,manager,unknown,1
4,Missing,Missing,Approves of CEO,pwc,3.5,,3,3,2,2010,Current Employee,anonymous employee,tampa,Missing,unknown,unknown,1
5,Recommends,Missing,No opinion of CEO,pwc,4.5,,5,4,5,2010,Current Employee,anonymous employee,tampa,Missing,unknown,unknown,1
3,Doesn't Recommend,Missing,Approves of CEO,pwc,3.5,,5,5,2,2010,Former Employee,senior it manager,tampa,Missing,manager,other,1
3,Missing,Missing,Approves of CEO,pwc,3,,2,2.5,1,2010,Current Employee,senior manager,tampa,Missing,manager,unknown,1
4,Missing,Missing,Approves of CEO,pwc,3,,3,4.5,2,2010,Current Employee,us it manager,tampa,Missing,manager,other,1
3,Missing,Missing,No opinion of CEO,pwc,4,,2,5,2,2010,Former Employee,enterprise architect,tampa,Missing,,other,1
3,Missing,Missing,No opinion of CEO,pwc,3,,2.5,2,3,2010,Current Employee,enterprise architect,tampa,Missing,,other,1
2,Doesn't Recommend,Missing,No opinion of CEO,pwc,3.5,,2.5,3.5,1,2010,Current Employee,us it,tampa,Missing,unknown,other,1
2,Doesn't Recommend,Missing,No opinion of CEO,pwc,1.5,,2,3,2,2010,Current Employee,human resource advisor,tampa,Missing,unknown,advisory,1
1,Doesn't Recommend,Missing,Disapproves of CEO,pwc,2.5,,1,1,3,2011,Former Employee,manager,tampa,Missing,manager,unknown,1
4,Recommends,Missing,Approves of CEO,pwc,4.5,,4,5,4,2011,Current Employee,anonymous employee,tampa,Missing,unknown,unknown,1
